
[Gradient Statistics for Epoch 1]
xlstm.layers.1.slstm.Rf.block.bias       | mean: -1.14133e+01 | std:  3.71235e+01 | min: -1.42875e+02 | max:  1.62000e+02
xlstm.layers.1.slstm.Ro.block.weight     | mean:  1.67221e-02 | std:  2.73819e+00 | min: -1.87188e+01 | max:  2.02500e+01
xlstm.layers.1.slstm.Ro.block.bias       | mean: -1.18705e+01 | std:  3.55443e+01 | min: -1.67375e+02 | max:  1.27312e+02
xlstm.layers.1.mlstm.layer_norm.weight   | mean:  1.21664e-01 | std:  1.17387e+01 | min: -3.26372e+01 | max:  3.96516e+01
xlstm.layers.1.mlstm.layer_norm.bias     | mean: -8.84768e-01 | std:  1.35904e+01 | min: -4.32281e+01 | max:  3.76733e+01
xlstm.layers.1.mlstm.causal_conv.conv.weight | mean: -5.84241e+01 | std:  1.78343e+02 | min: -3.91500e+02 | max:  2.03750e+02
xlstm.layers.1.mlstm.causal_conv.conv.bias | mean: -6.76607e+01 | std:  2.61370e+02 | min: -3.36000e+02 | max:  3.90250e+02
xlstm.layers.1.mlstm.Wk.block.weight     | mean:  1.48567e-01 | std:  1.90422e+00 | min: -1.03516e+01 | max:  1.66406e+01
xlstm.layers.1.mlstm.Wk.block.bias       | mean:  5.08472e-01 | std:  4.43676e+00 | min: -1.32734e+01 | max:  1.55938e+01
xlstm.layers.1.mlstm.Wv.block.weight     | mean:  2.44193e-02 | std:  2.06746e+00 | min: -1.46250e+01 | max:  1.35469e+01
xlstm.layers.1.mlstm.Wv.block.bias       | mean:  2.70601e+00 | std:  2.70177e+01 | min: -8.17500e+01 | max:  1.22562e+02
xlstm.layers.1.mlstm.Wi.weight           | mean:  8.58264e-03 | std:  3.68533e-01 | min: -3.64453e+00 | max:  4.35938e+00
xlstm.layers.1.mlstm.Wi.bias             | mean:  2.81782e-02 | std:  8.61918e-01 | min: -3.62500e+00 | max:  3.33398e+00
xlstm.layers.1.mlstm.Wf.weight           | mean: -3.17914e+00 | std:  1.50326e+01 | min: -1.08250e+02 | max:  7.96875e+01
xlstm.layers.1.mlstm.Wf.bias             | mean: -1.09711e+01 | std:  3.61415e+01 | min: -1.34125e+02 | max:  1.32125e+02
xlstm.layers.1.mlstm.Wo.weight           | mean: -1.50237e-05 | std:  2.24632e+00 | min: -1.60156e+01 | max:  1.85625e+01
xlstm.layers.1.mlstm.Wo.bias             | mean: -8.23011e+00 | std:  3.02229e+01 | min: -1.32625e+02 | max:  1.53375e+02
classifier.weight                        | mean: -1.60871e-03 | std:  2.15337e+02 | min: -9.41000e+02 | max:  1.28300e+03
classifier.bias                          | mean: -1.42857e-01 | std:  4.21665e+03 | min: -1.26960e+04 | max:  6.79600e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.18155e+01 | std:  3.98294e+01 | min: -1.21211e+02 | max:  1.34350e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -6.61629e-02 | std:  5.70387e+01 | min: -1.06518e+02 | max:  2.21433e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  3.01458e+01 | std:  2.28709e+02 | min: -3.31750e+02 | max:  5.36000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -6.24812e+02 | std:  3.77668e+02 | min: -1.30200e+03 | max: -1.20438e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean: -1.37498e+00 | std:  2.27412e+02 | min: -1.19800e+03 | max:  1.51700e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.59725e+01 | std:  2.34112e+02 | min: -8.86000e+02 | max:  8.28000e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.74383e+01 | std:  3.92724e+01 | min: -2.91250e+02 | max:  1.32000e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -5.59622e+01 | std:  8.49456e+01 | min: -4.28250e+02 | max:  1.27688e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -6.90655e+00 | std:  1.33881e+01 | min: -1.73750e+02 | max:  4.67812e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -2.19995e+01 | std:  2.94274e+01 | min: -1.60500e+02 | max:  3.63750e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean: -2.61950e-01 | std:  2.83137e+01 | min: -2.34875e+02 | max:  2.67500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -2.58397e+01 | std:  4.13893e+01 | min: -2.41750e+02 | max:  5.38750e+01
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.72457e-01 | std:  1.89083e+01 | min: -1.30625e+02 | max:  1.23500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.59725e+01 | std:  2.34112e+02 | min: -8.86000e+02 | max:  8.28000e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean:  8.48468e-02 | std:  5.10376e+00 | min: -4.67188e+01 | max:  6.90625e+01
