
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.21895e+01 | std:  1.44845e+02 | min: -4.41250e+02 | max:  5.15000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.19689e+01 | std:  6.00619e+01 | min: -3.69250e+02 | max:  3.12000e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -3.57228e+01 | std:  1.03136e+02 | min: -3.92750e+02 | max:  3.23250e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.44120e+01 | std:  9.95086e+01 | min: -5.60500e+02 | max:  5.32500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.62870e+01 | std:  1.39442e+02 | min: -4.08750e+02 | max:  5.47500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  6.84971e-02 | std:  1.03556e+02 | min: -8.24500e+02 | max:  8.18000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  4.88326e+01 | std:  5.47383e+02 | min: -1.95300e+03 | max:  2.12000e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -4.77732e-01 | std:  2.34776e+01 | min: -1.39875e+02 | max:  1.33000e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -4.21895e+01 | std:  1.44845e+02 | min: -4.41250e+02 | max:  5.15000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -3.83051e-01 | std:  1.77374e+01 | min: -1.30375e+02 | max:  1.27562e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -3.57228e+01 | std:  1.03136e+02 | min: -3.92750e+02 | max:  3.23250e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -6.01027e-01 | std:  2.30360e+01 | min: -1.51750e+02 | max:  1.81500e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.62870e+01 | std:  1.39442e+02 | min: -4.08750e+02 | max:  5.47500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -2.42565e+01 | std:  6.39771e+01 | min: -1.93396e+02 | max:  1.58401e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  7.12179e+00 | std:  7.18622e+01 | min: -2.05135e+02 | max:  1.98733e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -4.59917e+01 | std:  7.78885e+02 | min: -1.16700e+03 | max:  1.24100e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.07575e+03 | std:  9.66223e+02 | min: -1.89300e+03 | max:  1.99500e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -5.58828e-01 | std:  1.25183e+01 | min: -1.14250e+02 | max:  1.02188e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -3.01578e+00 | std:  3.54084e+01 | min: -1.36125e+02 | max:  1.39875e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -3.63805e-01 | std:  1.45473e+01 | min: -1.27438e+02 | max:  1.28500e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  2.36917e+00 | std:  1.99222e+01 | min: -7.11250e+01 | max:  1.02438e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.36958e-01 | std:  1.82751e+00 | min: -3.18438e+01 | max:  2.31094e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -7.72407e-01 | std:  4.72031e+00 | min: -3.23750e+01 | max:  3.02969e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -8.79307e+00 | std:  4.89952e+01 | min: -3.28250e+02 | max:  3.25750e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -5.12322e+01 | std:  1.40317e+02 | min: -5.65000e+02 | max:  4.26500e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  6.29061e+00 | std:  4.83562e+01 | min: -2.97750e+02 | max:  3.24000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.28163e+01 | std:  6.63096e+01 | min: -2.51625e+02 | max:  2.28375e+02
classifier.weight                        | mean:  1.18492e-03 | std:  6.93135e+02 | min: -4.23200e+03 | max:  2.83800e+03
classifier.bias                          | mean:  7.12500e-02 | std:  3.50031e+03 | min: -9.11200e+03 | max:  6.78400e+03

[Gradient Statistics for Epoch 5]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -7.76277e+01 | std:  1.78551e+02 | min: -5.54359e+02 | max:  3.08048e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -5.80279e+01 | std:  1.49089e+02 | min: -4.75822e+02 | max:  2.67946e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -3.44283e+02 | std:  1.75518e+03 | min: -3.22800e+03 | max:  2.59600e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.30260e+03 | std:  2.40286e+03 | min: -5.18400e+03 | max:  1.08800e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  1.42051e+01 | std:  4.99129e+02 | min: -2.53000e+03 | max:  3.01600e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  5.33843e+01 | std:  6.08275e+02 | min: -1.79900e+03 | max:  2.15200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.09244e+01 | std:  7.80716e+01 | min: -4.03750e+02 | max:  4.37250e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -2.87249e+01 | std:  1.15682e+02 | min: -3.39500e+02 | max:  4.97000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.19571e+01 | std:  6.00206e+01 | min: -3.42250e+02 | max:  2.81250e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -3.12975e+01 | std:  9.42785e+01 | min: -3.21250e+02 | max:  3.32750e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -2.84771e+00 | std:  1.01589e+02 | min: -5.80500e+02 | max:  4.65500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -3.52623e+01 | std:  1.19402e+02 | min: -4.37000e+02 | max:  5.45500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.54565e+00 | std:  1.18906e+02 | min: -8.93000e+02 | max:  1.16000e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean:  5.33843e+01 | std:  6.08275e+02 | min: -1.79900e+03 | max:  2.15200e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  2.19462e-02 | std:  2.39435e+01 | min: -1.43625e+02 | max:  1.69000e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -2.87249e+01 | std:  1.15682e+02 | min: -3.39500e+02 | max:  4.97000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -6.60993e-03 | std:  1.88681e+01 | min: -1.31500e+02 | max:  1.34125e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -3.12975e+01 | std:  9.42785e+01 | min: -3.21250e+02 | max:  3.32750e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.95979e-02 | std:  2.42778e+01 | min: -1.53500e+02 | max:  1.64750e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -3.52623e+01 | std:  1.19402e+02 | min: -4.37000e+02 | max:  5.45500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -4.49481e+01 | std:  9.95163e+01 | min: -2.52305e+02 | max:  1.63697e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  4.33159e+00 | std:  6.23986e+01 | min: -2.15996e+02 | max:  1.83747e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -2.20667e+01 | std:  1.09465e+03 | min: -1.93100e+03 | max:  2.17400e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.47800e+03 | std:  1.58985e+03 | min: -3.24600e+03 | max:  6.66000e+02
