
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.69876e+01 | std:  6.32415e+01 | min: -5.93500e+02 | max:  2.57250e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -7.93162e+01 | std:  1.21422e+02 | min: -4.94000e+02 | max:  1.76750e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -9.64253e+00 | std:  1.32938e+02 | min: -6.63000e+02 | max:  7.53000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -8.95129e+01 | std:  1.37080e+02 | min: -5.44000e+02 | max:  2.14000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.74142e-01 | std:  1.15589e+02 | min: -6.96500e+02 | max:  7.09500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -6.06725e+01 | std:  6.23303e+02 | min: -2.22600e+03 | max:  2.26800e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -1.86367e-01 | std:  3.44932e+01 | min: -2.35500e+02 | max:  2.55500e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -9.60325e+01 | std:  1.54220e+02 | min: -6.48000e+02 | max:  2.77000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.55101e-01 | std:  2.69753e+01 | min: -2.04000e+02 | max:  2.39625e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -7.93162e+01 | std:  1.21422e+02 | min: -4.94000e+02 | max:  1.76750e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -1.28521e-01 | std:  3.14312e+01 | min: -2.39250e+02 | max:  2.98750e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -8.95129e+01 | std:  1.37080e+02 | min: -5.44000e+02 | max:  2.14000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -6.81960e+01 | std:  1.14948e+02 | min: -4.67999e+02 | max:  2.35185e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  6.41919e+01 | std:  9.65474e+01 | min: -1.63720e+02 | max:  3.54776e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  1.48041e+02 | std:  1.09551e+03 | min: -1.49500e+03 | max:  1.99500e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -3.04400e+03 | std:  7.73124e+02 | min: -4.16800e+03 | max: -1.85000e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  2.65856e+00 | std:  2.80916e+01 | min: -1.38750e+02 | max:  3.62000e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  9.09744e+00 | std:  5.83026e+01 | min: -1.75375e+02 | max:  3.24750e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -1.19954e-01 | std:  3.29958e+01 | min: -2.29750e+02 | max:  2.93500e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -6.77368e-01 | std:  3.70401e+01 | min: -1.35750e+02 | max:  1.63125e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -8.46030e-01 | std:  5.97614e+00 | min: -1.26875e+02 | max:  5.84688e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -2.93510e+00 | std:  1.23202e+01 | min: -1.13562e+02 | max:  4.94062e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.79940e+01 | std:  7.33609e+01 | min: -6.73500e+02 | max:  2.93250e+02
