
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Ro.block.bias       | mean: -2.58945e+01 | std:  1.42909e+02 | min: -4.35000e+02 | max:  5.37500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -8.96752e+00 | std:  4.17980e+01 | min: -1.33550e+02 | max:  1.09907e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -1.21587e+01 | std:  4.59910e+01 | min: -1.36718e+02 | max:  9.31764e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  8.00595e+00 | std:  6.75506e+02 | min: -1.35700e+03 | max:  1.52700e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.48964e+03 | std:  2.96132e+03 | min: -4.78800e+03 | max:  1.98700e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  2.14007e-01 | std:  1.13126e+01 | min: -8.15000e+01 | max:  6.14062e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  7.63434e-01 | std:  3.32141e+01 | min: -1.67750e+02 | max:  1.35375e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  1.19936e-01 | std:  1.62139e+01 | min: -1.08938e+02 | max:  1.13500e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -1.14550e-01 | std:  2.20661e+01 | min: -1.08625e+02 | max:  1.19250e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.22752e-01 | std:  1.28697e+00 | min: -9.83594e+00 | max:  1.48906e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -4.12965e-01 | std:  3.75817e+00 | min: -2.05156e+01 | max:  2.72031e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -9.65696e+00 | std:  6.05105e+01 | min: -3.91250e+02 | max:  3.67000e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -3.19520e+01 | std:  1.72062e+02 | min: -6.68000e+02 | max:  6.92000e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -1.52285e+00 | std:  7.28321e+01 | min: -7.13000e+02 | max:  5.25500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -1.68772e+01 | std:  8.53400e+01 | min: -2.85500e+02 | max:  4.02500e+02
classifier.weight                        | mean:  2.00653e-04 | std:  8.10197e+02 | min: -3.86600e+03 | max:  4.18400e+03
classifier.bias                          | mean: -1.88393e-01 | std:  4.14754e+03 | min: -1.20800e+04 | max:  8.28000e+03

[Gradient Statistics for Epoch 6]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  6.37374e+00 | std:  1.82218e+02 | min: -5.79554e+02 | max:  7.08698e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  4.67214e-01 | std:  1.66107e+02 | min: -5.37875e+02 | max:  6.31327e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  2.92143e+01 | std:  1.32170e+03 | min: -2.06400e+03 | max:  2.56000e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  5.72696e+02 | std:  1.12062e+03 | min: -7.13500e+02 | max:  2.29400e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  7.98443e-01 | std:  6.47495e+02 | min: -5.66000e+03 | max:  6.03600e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  4.88483e+01 | std:  9.24365e+02 | min: -3.77200e+03 | max:  2.69000e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  2.41515e+00 | std:  6.47181e+01 | min: -3.27500e+02 | max:  5.98500e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -6.36202e+01 | std:  2.04894e+02 | min: -7.89000e+02 | max:  5.50000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.83437e+00 | std:  5.37281e+01 | min: -3.04500e+02 | max:  5.36000e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.44601e+01 | std:  1.69150e+02 | min: -6.05000e+02 | max:  5.56000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.55827e+00 | std:  1.31441e+02 | min: -8.53500e+02 | max:  8.17500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.94472e+01 | std:  1.75139e+02 | min: -5.97000e+02 | max:  5.37000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.89194e+00 | std:  1.83065e+02 | min: -1.59200e+03 | max:  1.48500e+03
