
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Wz.block.bias       | mean:  6.42680e+01 | std:  9.37208e+02 | min: -2.72600e+03 | max:  4.67200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  1.25037e+01 | std:  3.72822e+01 | min: -1.35250e+02 | max:  2.02625e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -6.52401e+01 | std:  1.76507e+02 | min: -8.17500e+02 | max:  5.60500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.07641e+01 | std:  3.14099e+01 | min: -1.11250e+02 | max:  2.30625e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.56999e+01 | std:  1.50722e+02 | min: -9.90000e+02 | max:  4.81000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -7.20429e-01 | std:  1.24727e+02 | min: -5.61500e+02 | max:  9.34500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -6.34818e+01 | std:  1.64010e+02 | min: -8.73000e+02 | max:  4.92000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -2.13056e+00 | std:  1.55012e+02 | min: -1.52300e+03 | max:  1.79000e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean:  6.42680e+01 | std:  9.37208e+02 | min: -2.72600e+03 | max:  4.67200e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -3.09449e-01 | std:  3.52668e+01 | min: -2.17250e+02 | max:  2.10500e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -6.52401e+01 | std:  1.76507e+02 | min: -8.17500e+02 | max:  5.60500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.78488e-01 | std:  2.87943e+01 | min: -2.63500e+02 | max:  2.32500e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -5.56999e+01 | std:  1.50722e+02 | min: -9.90000e+02 | max:  4.81000e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -6.99814e-02 | std:  3.28369e+01 | min: -2.67250e+02 | max:  2.22125e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -6.34818e+01 | std:  1.64010e+02 | min: -8.73000e+02 | max:  4.92000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  2.10052e+00 | std:  1.14775e+01 | min: -3.12186e+01 | max:  3.76740e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -1.29176e+01 | std:  1.41950e+01 | min: -4.62452e+01 | max:  1.31518e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  4.74509e+00 | std:  1.66324e+02 | min: -4.09250e+02 | max:  3.13750e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  1.29693e+03 | std:  1.19447e+03 | min: -4.07000e+02 | max:  2.92000e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -1.66815e-01 | std:  7.22915e+00 | min: -5.18438e+01 | max:  4.59375e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  7.48522e-01 | std:  3.21882e+01 | min: -1.85875e+02 | max:  2.02250e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  4.14029e-01 | std:  1.49999e+01 | min: -1.41125e+02 | max:  1.97625e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -1.24005e+00 | std:  2.45147e+01 | min: -1.73375e+02 | max:  1.41250e+02
xlstm.layers.0.mlstm.Wi.weight           | mean:  1.44939e-01 | std:  8.52493e-01 | min: -7.64844e+00 | max:  9.18750e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -6.42265e-01 | std:  3.78695e+00 | min: -3.71250e+01 | max:  2.98594e+01
xlstm.layers.0.mlstm.Wf.weight           | mean:  1.66493e+01 | std:  4.22026e+01 | min: -1.54250e+02 | max:  2.79500e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -7.41057e+01 | std:  1.87689e+02 | min: -1.17000e+03 | max:  6.54000e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  8.49739e-01 | std:  7.03410e+01 | min: -4.88250e+02 | max:  5.84000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -3.70518e+01 | std:  9.50084e+01 | min: -5.54500e+02 | max:  3.29750e+02
classifier.weight                        | mean: -1.43081e-03 | std:  8.76294e+02 | min: -4.89600e+03 | max:  4.69200e+03
classifier.bias                          | mean: -5.98214e-02 | std:  4.86380e+03 | min: -1.40080e+04 | max:  7.47200e+03

[Gradient Statistics for Epoch 6]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  2.22094e-01 | std:  8.71854e+01 | min: -2.32872e+02 | max:  2.95293e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.20009e+01 | std:  7.70968e+01 | min: -2.34691e+02 | max:  1.75402e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  8.64267e+00 | std:  3.92949e+02 | min: -1.24400e+03 | max:  4.86250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  2.80732e+02 | std:  1.69856e+03 | min: -2.86200e+03 | max:  1.89300e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean: -7.48735e+00 | std:  8.01842e+02 | min: -6.26800e+03 | max:  8.06400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  4.13104e+01 | std:  1.20696e+03 | min: -4.16000e+03 | max:  6.41200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  4.55243e+00 | std:  4.56026e+01 | min: -1.72000e+02 | max:  1.90250e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -2.30207e+01 | std:  2.09622e+02 | min: -7.34000e+02 | max:  5.81500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  4.10035e+00 | std:  3.96387e+01 | min: -1.83875e+02 | max:  2.16375e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -2.01604e+01 | std:  1.82434e+02 | min: -6.65500e+02 | max:  6.84000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -8.87295e+00 | std:  1.51055e+02 | min: -1.00050e+03 | max:  1.01750e+03
xlstm.layers.0.slstm.Wo.block.bias       | mean: -1.85670e+01 | std:  2.06671e+02 | min: -6.15500e+02 | max:  8.34500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -2.46271e+00 | std:  2.66273e+02 | min: -3.50200e+03 | max:  3.28800e+03
