
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.18691e+00 | std:  6.85756e+01 | min: -3.99750e+02 | max:  4.59000e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.63291e+01 | std:  2.74226e+02 | min: -7.57000e+02 | max:  1.18700e+03
xlstm.layers.0.slstm.Ro.block.weight     | mean:  5.37201e-01 | std:  5.82654e+01 | min: -2.56250e+02 | max:  3.03500e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.67344e+01 | std:  2.15354e+02 | min: -4.70750e+02 | max:  9.10000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -5.59371e+01 | std:  9.33141e+01 | min: -3.43382e+02 | max:  1.98029e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  5.60850e+01 | std:  1.11387e+02 | min: -2.09119e+02 | max:  3.17350e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  5.82326e+02 | std:  8.72716e+02 | min: -6.00500e+02 | max:  1.92000e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -2.73417e+03 | std:  3.19900e+03 | min: -5.66000e+03 | max:  6.81500e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  8.90188e+00 | std:  7.09933e+01 | min: -2.64000e+02 | max:  7.92500e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  1.62652e+01 | std:  1.21543e+02 | min: -2.46875e+02 | max:  6.97500e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -8.96285e+00 | std:  1.59628e+02 | min: -1.68200e+03 | max:  1.20600e+03
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  5.77765e+00 | std:  1.18785e+02 | min: -2.43875e+02 | max:  4.95500e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -4.67191e+00 | std:  2.98567e+01 | min: -4.29750e+02 | max:  1.32625e+02
xlstm.layers.0.mlstm.Wi.bias             | mean: -9.12296e+00 | std:  5.11772e+01 | min: -3.74000e+02 | max:  1.21688e+02
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.88646e+01 | std:  1.35995e+02 | min: -5.03500e+02 | max:  6.89000e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -5.99218e+01 | std:  2.34273e+02 | min: -6.42000e+02 | max:  8.82000e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  9.26027e-01 | std:  1.17703e+02 | min: -5.86000e+02 | max:  6.04500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -5.11059e+01 | std:  1.84141e+02 | min: -4.55250e+02 | max:  8.03000e+02
classifier.weight                        | mean: -5.56030e-03 | std:  8.11337e+02 | min: -3.12000e+03 | max:  2.79000e+03
classifier.bias                          | mean:  1.01042e-01 | std:  2.10816e+03 | min: -5.46000e+03 | max:  3.78200e+03

[Gradient Statistics for Epoch 4]
